year,bioenergy,coal,gas,hydro,nuclear,others,solar,wind
2002,0.0,13800.0,1119.78,0.0,0.0,0.0,0.0,98.0
2003,0.0,1800.0,1003.46,0.0,0.0,240.0,0.0,54.0
2004,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0
2005,0.0,1000.0,1251.0,2400.0,2000.0,8.0,0.0,0.0
2006,0.0,1500.0,0.0,5.0,2000.0,0.0,0.0,3.4
2007,0.0,1224.0,0.0,0.0,0.0,8.2,15.0,179.1
2008,0.0,2301.0,0.0,60.0,0.0,14.7,49.29,105.0
2010,0.0,820.0,0.0,4.95,0.0,566.35,0.0,0.0
2011,130.0,4864.6,4763.2,5.0,0.0,390.3,12.5,148.0
2012,887.9,3324.069,3671.855,0.0,0.0,1603.1,71.039,118.0
2013,91.06,8047.469,9104.072,0.0,2800.0,146.20000000000002,211.72899999999998,588.6
2014,203.69,734.3,2304.8,0.0,0.0,26.689999999999998,165.75806,726.55
2015,482.51,3238.54,2716.86,5.0,5600.0,635.9,85.635,1609.55
2016,633.7,259.8,205.68,0.0,0.0,255.544,72.08590000000001,3706.6
2017,300.2,0.0,296.8,8.4,2800.0,155.383,631.851,2243.95
2018,69.8,5.5,462.84000000000003,0.0,0.0,228.45,934.136,2042.35
2019,45.8,0.0,1705.03,0.0,0.0,565.7,4310.85002,2025.28
2020,0.0,50.15,1692.6,0.0,2800.0,625.38,981.8382,2305.7
2021,66.44,0.0,7149.9400000000005,0.0,2800.0,586.9,326.091,8826.5
2022,125.9,0.0,2733.41,1800.0,0.0,315.18,717.072,8237.58
